,CIK,accession_no,xbrl_tag_name,unitref,FilingDate,FormType,value,source
33282,1725579,0001725579-20-000062,us-gaap:PaymentsToAcquireBusinessesNetOfCashAcquired,usd,2020-11-05,10-Q,"163,771",xbrl
33283,1725579,0001725579-20-000062,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,usd,2020-11-05,10-Q,"7,619",xbrl
33284,1725579,0001725579-20-000062,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,usd,2020-11-05,10-Q,"99,465",xbrl
33285,1725579,0001725579-20-000062,us-gaap:ShortTermInvestments,usd,2020-11-05,10-Q,"332,234",xbrl
33286,1725579,0001725579-21-000010,us-gaap:AssetsCurrent,usd,2021-02-26,10-K,"566,366",xbrl
33287,1725579,0001725579-21-000010,us-gaap:CashAndCashEquivalentsAtCarryingValue,usd,2021-02-26,10-K,"90,515",xbrl
33288,1725579,0001725579-21-000010,us-gaap:GeneralAndAdministrativeExpense,usd,2021-02-26,10-K,"95,651",xbrl
33289,1725579,0001725579-21-000010,us-gaap:GrossProfit,usd,2021-02-26,10-K,"81,588",xbrl
33290,1725579,0001725579-21-000010,us-gaap:Liabilities,usd,2021-02-26,10-K,"949,363",xbrl
33291,1725579,0001725579-21-000010,us-gaap:LiabilitiesCurrent,usd,2021-02-26,10-K,"342,465",xbrl
33292,1725579,0001725579-21-000010,us-gaap:LongTermDebt,usd,2021-02-26,10-K,"497,305",xbrl
33293,1725579,0001725579-21-000010,us-gaap:NetIncomeLoss,usd,2021-02-26,10-K,"97,113",xbrl
33294,1725579,0001725579-21-000010,us-gaap:OperatingExpenses,usd,2021-02-26,10-K,"95,440",xbrl
33295,1725579,0001725579-21-000010,us-gaap:OperatingIncomeLoss,usd,2021-02-26,10-K,"42,292",xbrl
33296,1725579,0001725579-21-000010,us-gaap:PaymentsToAcquireBusinessesNetOfCashAcquired,usd,2021-02-26,10-K,"37,512",xbrl
33297,1725579,0001725579-21-000010,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,usd,2021-02-26,10-K,"8,796",xbrl
33298,1725579,0001725579-21-000010,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,usd,2021-02-26,10-K,"99,465",xbrl
33299,1725579,0001725579-21-000010,us-gaap:ShortTermInvestments,usd,2021-02-26,10-K,"332,234",xbrl
